# NumberOfHospitals NumberOfScenarios TimeHorizon
3 50 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
84348 69491 62236  42689 36895 34942  21977 19185 18344  15233 13281 11985  7925 6498 5590  
167307 134675 111502  9621 14134 24391  2043 1421 1101  276 350 536  41 40 55  
115205 95299 85393  34997 32015 32587  19243 16530 14446  7103 4604 3065  1426 1151 1159  
138984 127961 126711  33168 21183 10671  3188 886 181  3145 516 36  571 39 1  
31048 28061 26456  20802 20678 21356  23761 18837 15691  18697 15343 13193  15467 11672 9153  
48729 45391 46317  43181 38123 35138  30466 23575 19423  15061 11564 10052  9671 9054 9133  
27850 30984 35832  33602 29170 27182  25252 23055 21574  14362 13961 13927  11308 10521 9965  
96549 90856 85811  50959 37267 31083  18777 14219 13608  7246 4952 4492  3542 1999 1550  
93022 84120 79489  43866 36726 32984  16593 14214 13956  13277 8626 6267  6148 3476 2454  
114831 107878 99067  41590 30419 29804  15997 8035 5768  4641 3171 2436  1594 837 420  
74932 68287 65933  46850 37342 31881  19241 16334 15831  15742 13064 11596  9095 7002 5942  
11327 11595 12574  9349 10148 11329  12524 10795 10060  8336 8105 8561  9002 7728 7359  
47370 42143 38629  32488 29671 28635  27172 22151 19515  17001 14469 13038  14552 11500 10394  
155139 125402 107688  13701 17031 23477  9844 7340 4923  572 742 1209  36 79 241  
10287 11089 12451  11089 10979 11534  11710 11042 10946  9216 9315 9668  11487 9754 8807  
91938 78656 72139  36686 35315 36659  22659 18502 16083  13821 9578 7008  6333 3984 2773  
57597 53452 50245  41649 35982 33435  23623 20993 20152  20804 14702 11654  11609 8325 6787  
93813 82487 73597  46431 34594 28270  17840 17028 19254  10476 9020 9591  5717 3972 3564  
13558 13072 13285  11662 10625 10603  11465 9921 9408  10690 9622 9368  10124 8540 7860  
95013 79332 65866  42908 32275 26189  20511 20500 24589  9873 8319 8896  5792 5404 6418  
132505 112127 97314  34308 26922 25971  8615 8341 10489  2439 2090 2450  873 650 811  
117191 107264 104539  40482 30178 24127  9306 6638 5369  8484 4967 2699  2753 1183 630  
91895 78292 71518  46898 40821 37297  19392 16662 16359  10680 8239 7174  4716 3079 2507  
63437 54068 46301  39971 33651 29835  27790 22559 20917  15524 14574 15726  10799 9145 8991  
16140 13577 12085  13725 12437 11988  10942 10662 10947  10683 10079 9971  8964 8452 8589  
33367 26380 21139  25923 23095 21420  20805 16951 13974  17587 15313 14267  15113 12239 10770  
116609 92957 76122  38925 34368 32594  14831 13598 15356  4869 4653 5573  2375 2873 4459  
54047 52641 53466  36025 32993 32121  32329 23833 18647  15694 13768 12807  9374 8053 7412  
66361 61801 56738  51620 40712 35320  26420 20243 17668  13249 11552 12165  8207 6867 7141  
52387 49168 45472  43364 37422 34989  30595 23099 19189  15212 12963 12386  13323 9497 8005  
12804 12202 11461  15318 12884 11245  13082 11464 10405  10215 9880 10031  10029 9204 8835  
12115 11939 12596  14813 12672 11483  13205 11688 10886  9280 9062 9459  9492 9067 8998  
83431 80735 84594  54074 41305 32580  20729 16173 12988  12248 7398 4425  3264 2491 1867  
40299 34787 32924  35566 31945 30137  28525 22306 18256  14708 14030 14771  14622 12071 10908  
131620 113004 100158  34659 26947 25272  7917 7536 9469  3015 1882 1649  1489 844 674  
83056 66399 53271  41458 38960 40038  23553 20881 21236  13603 10339 8907  6983 5737 5713  
123317 115980 116555  32411 23382 16514  9803 6651 3475  9503 3774 926  2634 628 97  
122189 115161 104883  48174 29909 28184  5985 3675 3493  1829 1129 687  704 538 278  
84929 80942 80409  47962 36711 30669  19567 16645 15275  12040 8270 5772  7435 4261 2834  
38339 38368 39814  35004 29794 27253  19896 18825 19101  18335 16263 14795  15058 12363 10640  
61634 54035 50534  44022 34757 28334  23766 19968 18846  12422 13142 14933  13051 10516 9309  
81248 68784 58956  38049 36095 37258  21938 19534 19417  16454 12146 10504  9606 5752 4066  
133187 129711 132808  31702 17005 4353  10689 3522 439  1538 242 1  1183 89 0  
116772 115559 119518  45475 28676 15816  10264 4771 1947  4342 1261 269  1762 275 27  
94717 84198 77005  40530 35376 34840  22046 16244 13810  12004 7657 5585  5428 3982 3489  
50384 40975 34138  33947 30642 29624  26163 22112 20149  19082 14994 12558  13561 10780 9311  
162213 133077 114962  13838 15941 21894  2851 1228 453  297 294 229  82 69 55  
67180 54588 45438  39329 35869 35113  23752 20206 18129  17256 13674 12187  11042 9602 9918  
91166 83413 78769  38778 34316 33697  23046 16971 14006  13341 8364 5461  6969 4200 3107  
31985 28252 26064  18694 19365 20966  16626 16086 16637  16416 14622 13949  16825 13439 11364  
